interval,cpu,numcontainers,baseips,ipsavailable,ipscap,apparentips,ram,ramavailable,disk,diskavailable
11,"[38.94266567386448, 45.519624784003945, 40.23338091986841, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[714.5388573755306, 2734.084796070407, 5303.599655404561, 0, 0, 0]","[3314.461142624469, 5367.915203929593, 10807.400344595439, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1569, 3688, 6482, 0, 0, 0]","[(31.41273333333333, 0.008933333333333333, 0.0031333333333333335), (1025.5053333333333, 6.666666666666668e-05, 0.0008666666666666667), (130.89619999999996, 0.2699333333333333, 0.05666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4263.587266666666, 1859.9910666666667, 999.9968666666666), (16154.494666666667, 1799.9999333333333, 1524.9991333333332), (34229.1038, 1882.4300666666668, 1333.6933333333334), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0013944444444444445), (5, 1.666666666666667e-05, 0.00041666666666666664), (4, 0.0002833333333333333, 0.09560555555555555), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.108605555555554), (16100, 51.89998333333334, 6.189583333333333), (32208, 58.19971666666667, 11.544394444444443), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
12,"[36.46066021345247, 56.196000987410514, 40.23338091986841, 0.0, 0.0, 0.0]","[3, 4, 3, 0, 0, 0]","[267.1482963937084, 579.1568428921917, 1756.2428877318737, 0, 0, 0]","[3761.8517036062917, 7522.843157107808, 14354.757112268126, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1469, 4553, 6482, 0, 0, 0]","[(16.907466666666664, 0.009733333333333333, 0.004866666666666667), (2780.1223333333337, 0.8024666666666668, 0.013066666666666667), (73.74926666666667, 0.27086666666666664, 0.05399999999999999), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4278.092533333333, 1859.9902666666667, 999.9951333333333), (14399.877666666667, 1799.1975333333332, 1524.9869333333334), (34286.250733333334, 1882.4291333333333, 1333.696), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0010222222222222221), (8, 0.0014499999999999997, 0.0005833333333333333), (4, 0.0, 0.05523333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.108977777777778), (16097, 51.89855000000001, 6.189416666666666), (32208, 58.2, 11.584766666666665), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
13,"[26.85529908165798, 30.708467045174032, 63.44112718018745, 0.0, 0.0, 0.0]","[2, 3, 4, 0, 0, 0]","[718.3167739112112, 1278.8688201003351, 7403.317665859053, 0, 0, 0]","[3310.6832260887886, 6823.131179899665, 8707.682334140947, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1082, 2488, 10221, 0, 0, 0]","[(38.272466666666666, 0.0076, 0.0028), (1594.5333333333335, 0.09266666666666665, 0.0036666666666666666), (1101.703, 0.013866666666666666, 0.001), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4256.727533333334, 1859.9924, 999.9972), (15585.466666666667, 1799.9073333333333, 1524.9963333333333), (33258.297, 1882.6861333333334, 1333.749), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(2, 0.0, 0.0011111111111111111), (6, 0.0, 0.0010055555555555555), (5, 0.0, 0.003355555555555555), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4024, 67.1, 10.108888888888888), (16099, 51.900000000000006, 6.188994444444444), (32207, 58.2, 11.636644444444443), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
14,"[41.17647058823529, 30.708467045174032, 52.423809819378064, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[846.4901557192013, 1205.6013313550757, 4918.839724712274, 0, 0, 0]","[3182.5098442807985, 6896.398668644924, 11192.160275287726, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1659, 2488, 8446, 0, 0, 0]","[(46.96686666666666, 0.010666666666666666, 0.0012), (1501.559866666667, 0.0008666666666666666, 0.0021999999999999997), (1115.6844, 0.0092, 0.0008666666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4248.033133333333, 1859.9893333333334, 999.9988), (15678.440133333334, 1799.9991333333332, 1524.9978), (33244.3156, 1882.6908, 1333.7491333333332), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(3, 0.0, 0.0025944444444444444), (6, 0.0, 0.0007555555555555554), (4, 0.04608333333333333, 0.01838333333333333), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4023, 67.1, 10.107405555555555), (16099, 51.900000000000006, 6.189244444444444), (32208, 58.15391666666667, 11.621616666666666), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
15,"[44.50235790518739, 31.51073808936065, 46.856185215070454, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[883.3873151325472, 929.2462688167204, 4284.339071124563, 0, 0, 0]","[3145.612684867453, 7172.753731183279, 11826.660928875437, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1793, 2553, 7549, 0, 0, 0]","[(67.1088, 0.013933333333333332, 0.00013333333333333334), (144.70306666666667, 0.0007333333333333332, 0.0012666666666666666), (1314.215, 0.004666666666666666, 0.0012666666666666666), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4227.8912, 1859.9860666666666, 999.9998666666667), (17035.296933333335, 1799.9992666666667, 1524.9987333333333), (33045.785, 1882.6953333333333, 1333.7487333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.0036499999999999996), (4, 0.0, 0.0008166666666666667), (3, 0.0, 0.008094444444444446), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.106349999999999), (16101, 51.900000000000006, 6.189183333333333), (32209, 58.2, 11.631905555555555), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
16,"[44.05559692231323, 24.080473957047644, 52.54174166718391, 0.0, 0.0, 0.0]","[3, 2, 4, 0, 0, 0]","[894.0846901893631, 1950.9599618739549, 3464.753902485304, 0, 0, 0]","[3134.915309810637, 6151.040038126045, 12646.246097514697, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1775, 1951, 8465, 0, 0, 0]","[(103.9834, 0.009333333333333332, 6.666666666666668e-05), (2.796133333333333, 0.0, 0.001), (1149.2385333333332, 0.004866666666666667, 0.0015333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4191.0166, 1859.9906666666666, 999.9999333333334), (17177.203866666667, 1800.0, 1524.999), (33210.76146666666, 1882.6951333333334, 1333.7484666666667), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.002127777777777778), (3, 0.0, 0.0001111111111111111), (4, 1.666666666666667e-05, 0.003672222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.107872222222221), (16102, 51.900000000000006, 6.1898888888888886), (32208, 58.199983333333336, 11.636327777777776), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
17,"[42.7897741375031, 40.1999506294742, 22.30774005337968, 0.0, 0.0, 0.0]","[3, 3, 2, 0, 0, 0]","[502.70379551894536, 2715.897924817179, 1756.2428877318737, 0, 0, 0]","[3526.2962044810547, 5386.102075182821, 14354.757112268126, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1724, 3257, 3594, 0, 0, 0]","[(528.1318, 4.810600000000001, 0.023933333333333338), (83.88560000000001, 0.0044666666666666665, 0.001), (29.3598, 0.0046, 0.0), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3766.8682, 1855.1894, 999.9760666666666), (17096.1144, 1799.9955333333332, 1524.999), (34330.6402, 1882.6954, 1333.75), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 0.0066), (5, 0.0, 0.0009833333333333335), (2, 0.0, 0.0011666666666666665), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.103399999999999), (16100, 51.900000000000006, 6.189016666666666), (32210, 58.2, 11.638833333333332), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
18,"[28.617522958550506, 64.1076277462355, 11.011110421451182, 0.0, 0.0, 0.0]","[2, 5, 1, 0, 0, 0]","[546.8531091368895, 3433.6564066838455, 0, 0, 0, 0]","[3482.1468908631105, 4668.3435933161545, 16111, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1153, 5194, 1774, 0, 0, 0]","[(578.8133333333333, 1.9394666666666667, 0.041466666666666666), (699.0494, 7.667866666666666, 2.4929333333333332), (53.1278, 0.0044666666666666665, 6.666666666666668e-05), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(3716.1866666666665, 1858.0605333333333, 999.9585333333333), (16480.9506, 1792.3321333333333, 1522.5070666666666), (34306.8722, 1882.6955333333333, 1333.7499333333333), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(4, 0.0001, 0.01781111111111111), (10, 0.0, 0.01935), (1, 0.0, 0.0011111111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4022, 67.09989999999999, 10.092188888888888), (16095, 51.900000000000006, 6.170649999999999), (32211, 58.2, 11.638888888888888), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
19,"[27.227599900719778, 62.40434460627006, 17.528396747563775, 0.0, 0.0, 0.0]","[2, 5, 1, 0, 0, 0]","[1076.0673489862954, 2901.440066724736, 1494.6715624560145, 0, 0, 0]","[2952.9326510137043, 5200.5599332752645, 14616.328437543985, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1097, 5056, 2824, 0, 0, 0]","[(178.25713333333334, 0.020933333333333335, 0.014333333333333335), (911.5602, 19.008933333333335, 2.4876666666666667), (328.2036666666667, 0.09333333333333331, 0.342), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4116.7428666666665, 1859.9790666666668, 999.9856666666667), (16268.4398, 1780.9910666666667, 1522.5123333333333), (34031.79633333333, 1882.6066666666668, 1333.408), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(5, 0.0, 0.007216666666666666), (12, 0.0, 0.00795), (1, 0.0008333333333333333, 0.5113666666666667), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4021, 67.1, 10.102783333333333), (16093, 51.900000000000006, 6.182049999999999), (32211, 58.19916666666667, 11.128633333333331), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
20,"[40.655249441548776, 36.953838558380646, 45.360312829743656, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[800.4517819830534, 1859.4926931707423, 2281.8462496514703, 0, 0, 0]","[3228.5482180169465, 6242.507306829258, 13829.15375034853, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1638, 2994, 7308, 0, 0, 0]","[(169.16966666666661, 0.015866666666666668, 0.0086), (743.439, 16.1096, 2.5798666666666663), (413.00646666666677, 0.00013333333333333334, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4125.830333333333, 1859.9841333333334, 999.9914), (16436.561, 1783.8904, 1522.4201333333333), (33946.993533333334, 1882.6998666666668, 1333.7498666666668), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.00011666666666666667, 0.006377777777777778), (8, 0.0, 0.004044444444444444), (6, 0.0, 0.000861111111111111), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.09988333333332, 10.103622222222223), (16097, 51.900000000000006, 6.185955555555555), (32206, 58.2, 11.639138888888887), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
21,"[38.91784561926036, 34.85559121204641, 39.600273105331766, 0.0, 0.0, 0.0]","[3, 3, 3, 0, 0, 0]","[1263.830408663218, 965.1748065231225, 3146.824192857945, 0, 0, 0]","[2765.169591336782, 7136.825193476878, 12964.175807142055, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[1568, 2824, 6380, 0, 0, 0]","[(5.417199999999999, 0.00013333333333333334, 0.0), (347.7760666666667, 0.007, 0.0027333333333333333), (63.568733333333334, 0.004666666666666667, 0.00013333333333333334), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4289.5828, 1859.9998666666668, 1000.0), (16832.223933333335, 1799.993, 1524.9972666666667), (34296.43126666667, 1882.6953333333333, 1333.7498666666668), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(7, 0.0, 2.2222222222222223e-05), (7, 0.0, 0.0022333333333333333), (7, 0.0, 0.0013055555555555555), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4019, 67.1, 10.109977777777777), (16098, 51.900000000000006, 6.187766666666666), (32205, 58.2, 11.638694444444443), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
22,"[56.167783569123856, 11.91063934830906, 51.840357519707034, 0.0, 0.0, 0.0]","[4, 1, 4, 0, 0, 0]","[694.3373387380856, 0, 4508.138319211065, 0, 0, 0]","[3334.6626612619143, 8102, 11602.861680788934, 4029, 8102, 16111]","[4029, 8102, 16111, 4029, 8102, 16111]","[2263, 965, 8352, 0, 0, 0]","[(8.737333333333332, 6.666666666666668e-05, 0.0), (25.864466666666672, 0.007, 0.0020666666666666667), (176.2914, 0.013933333333333332, 0.00020000000000000004), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4286.2626666666665, 1859.9999333333333, 1000.0), (17154.135533333334, 1799.993, 1524.9979333333333), (34183.7086, 1882.6860666666666, 1333.7498), (4295, 1860.0, 1000.0), (17180, 1800.0, 1525.0), (34360, 1882.7, 1333.75)]","[(9, 0.0, 0.00013333333333333334), (1, 0.0, 0.0004388888888888889), (7, 0.0, 0.003272222222222222), (0, 0, 0), (0, 0, 0), (0, 0, 0)]","[(4017, 67.1, 10.109866666666665), (16104, 51.900000000000006, 6.189561111111111), (32205, 58.2, 11.636727777777777), (4026, 67.1, 10.11), (16105, 51.900000000000006, 6.1899999999999995), (32212, 58.2, 11.639999999999999)]"
